Serial Number,2000,,,,,
Beam ID,2,,,,,
RX/TX,TX,,,,,
,,,,,,
Temperature (deg),30,,,,,
Frequency (GHz),28.7,29.5,30.5,,,
Channel #,0,1,2,3,4,5
TLM #,0,1,2,,,
,,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
,,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
,,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
0,0,0,,,,
0,0,,,,,
0,0,,,,,
0,0,,,,,
